,team_win,gameDuration,avg__stats_kills,avg__stats_deaths,avg__stats_assists,avg__stats_largestKillingSpree,avg__stats_largestMultiKill,avg__stats_killingSprees,avg__stats_longestTimeSpentLiving,avg__stats_doubleKills,avg__stats_tripleKills,avg__stats_quadraKills,avg__stats_pentaKills,avg__stats_totalDamageDealt,avg__stats_magicDamageDealt,avg__stats_physicalDamageDealt,avg__stats_trueDamageDealt,avg__stats_largestCriticalStrike,avg__stats_totalDamageDealtToChampions,avg__stats_magicDamageDealtToChampions,avg__stats_physicalDamageDealtToChampions,avg__stats_trueDamageDealtToChampions,avg__stats_totalHeal,avg__stats_totalUnitsHealed,avg__stats_damageSelfMitigated,avg__stats_damageDealtToObjectives,avg__stats_visionScore,avg__stats_timeCCingOthers,avg__stats_totalDamageTaken,avg__stats_magicalDamageTaken,avg__stats_physicalDamageTaken,avg__stats_trueDamageTaken,avg__stats_goldEarned,avg__stats_goldSpent,avg__stats_inhibitorKills,avg__stats_totalMinionsKilled,avg__stats_neutralMinionsKilled,avg__stats_neutralMinionsKilledTeamJungle,avg__stats_neutralMinionsKilledEnemyJungle,avg__stats_totalTimeCrowdControlDealt,avg__stats_champLevel,avg__stats_visionWardsBoughtInGame,avg__stats_wardsPlaced,avg__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
0,1,2348,9.0,7.0,15.8,3.2,1.6,2.6,811.0,0.8,0.2,0.0,0.0,173847.6,53212.6,109250.0,11384.0,150.0,24976.8,6731.8,16817.8,1426.2,7642.6,2.4,30983.8,14614.8,53.0,26.8,32412.6,12673.4,16588.4,3149.4,15618.8,15336.6,0.4,152.6,46.4,30.4,7.2,124.6,17.2,7.6,19.4,11.0,0,1,1,1,0,1,2,1,2,2
1,0,2348,7.0,9.0,14.4,3.2,1.6,2.0,510.6,0.8,0.0,0.0,0.0,177384.0,60202.2,99536.0,17644.6,414.2,26022.8,12409.6,10488.2,3123.6,8805.4,1.0,30750.6,9902.6,50.8,37.4,30900.4,7155.6,22286.4,1457.2,14262.8,13893.6,0.0,170.6,40.0,25.6,2.6,319.0,16.8,5.4,20.8,9.2,1,0,0,0,1,0,0,0,3,0
2,1,2605,10.4,7.6,20.6,4.2,1.8,2.0,760.6,1.0,0.2,0.0,0.0,213089.2,70521.0,114058.8,28508.4,214.4,34666.6,17456.8,11657.2,5551.6,14767.2,3.0,38850.6,18420.6,49.0,32.2,40947.4,10911.6,25309.4,4725.8,17337.8,15849.0,0.2,173.2,51.4,36.0,5.0,311.2,17.8,4.2,17.0,9.8,0,0,0,0,0,0,1,1,2,1
3,0,2605,7.6,10.4,12.2,4.4,1.8,0.8,860.0,0.8,0.8,0.4,0.0,229796.0,45552.6,166807.2,17435.6,418.0,32910.8,10020.0,18196.8,4693.0,12031.2,2.6,37573.0,16171.2,54.2,30.0,44078.0,17911.8,20389.8,5775.6,16631.6,16387.0,0.2,179.8,53.0,31.8,5.6,193.0,17.2,8.8,22.2,7.6,1,1,1,1,1,1,1,1,4,1
4,1,1031,2.8,1.0,3.2,1.8,1.2,1.0,355.8,0.2,0.0,0.0,0.0,53329.8,17741.2,30197.0,5391.0,54.6,6557.2,2200.2,3953.4,403.2,2473.8,2.0,4573.0,6453.6,14.0,10.8,6297.4,1605.4,4528.6,163.2,6777.8,5857.0,0.2,76.8,16.0,8.8,2.4,99.8,9.6,1.6,6.6,1.0,1,1,1,0,1,1,1,0,1,1
5,0,1031,1.0,2.8,0.8,0.8,0.6,0.2,406.2,0.2,0.0,0.0,0.0,33629.8,11370.0,19476.6,2782.8,0.0,3464.4,1483.8,1817.0,163.2,897.8,1.6,4214.8,560.0,7.6,6.6,8344.0,2350.8,5589.4,402.8,4620.6,3870.0,0.0,67.6,7.2,6.4,0.0,109.8,9.0,2.0,7.4,1.2,0,0,0,0,0,0,0,0,0,0
6,1,1447,5.0,5.4,6.6,2.6,1.2,0.6,499.4,0.2,0.0,0.0,0.0,95390.2,13949.6,76194.2,5245.8,84.6,13317.2,3462.2,9401.0,453.6,6288.6,2.0,12623.2,11472.8,25.4,16.4,19024.4,6887.2,10850.6,1285.0,9741.2,8232.0,0.2,93.6,30.6,18.8,2.8,123.8,12.8,3.2,11.0,2.0,0,1,1,1,1,0,1,1,3,1
7,0,1447,5.4,5.0,4.8,2.2,1.6,1.6,596.2,0.6,0.0,0.0,0.0,60466.2,20973.4,34293.2,5198.4,81.4,12359.8,6391.2,5082.6,885.2,3913.2,2.2,10415.2,4267.8,18.6,23.6,16036.6,3546.0,12036.2,453.4,8088.8,7127.0,0.0,66.4,17.8,14.8,0.0,273.6,11.2,3.0,8.6,1.6,1,0,0,0,0,1,0,0,0,1
8,1,1313,6.2,2.2,9.0,4.0,1.8,1.4,616.8,1.0,0.0,0.0,0.0,95404.4,27294.4,64345.8,3763.4,412.4,12569.0,5117.4,6289.4,1161.6,5995.0,1.8,9625.6,11106.2,22.2,15.2,14332.8,3459.4,10022.4,850.0,10041.4,8304.0,0.2,112.0,28.6,15.0,7.2,155.2,13.2,4.0,8.6,5.4,1,1,1,1,0,1,1,1,1,1
9,0,1313,2.2,6.2,2.4,1.2,0.8,0.6,428.4,0.0,0.0,0.0,0.0,74825.8,16870.0,51937.6,6017.2,67.6,9348.4,3117.6,5380.0,850.2,4183.0,2.6,9567.2,3367.6,20.0,15.0,16187.2,5320.0,9705.2,1161.6,7334.2,6692.0,0.0,102.6,18.4,11.4,1.6,139.4,11.6,2.6,11.0,2.4,0,0,0,0,1,0,0,0,1,0
