,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
0,1,1432,29,10,32,15,9,6,2151,4,1,0,0,356585,61255,268728,26599,397,53482,12124,38042,3314,17731,11,34668,19988,72,108,52386,3422,47639,1322,41310,36260,0,421,123,67,22,537,61,2,34,3,0,1,0,0,0,0,0,0,1,0
1,0,1432,10,29,6,3,5,1,2714,1,0,0,0,233158,35101,179330,18725,886,32841,2507,29009,1322,15081,7,43932,10744,35,46,70093,12889,53886,3313,31458,29100,0,311,76,64,0,289,51,1,21,1,1,0,0,0,1,0,0,0,2,0
2,1,1344,23,7,17,16,5,6,2335,1,0,0,0,341109,74286,234456,32363,298,52570,13611,36349,2605,16353,6,32357,25683,47,58,55740,20258,33728,1749,36343,33000,0,409,100,53,16,481,59,1,27,1,1,1,0,0,1,1,0,0,2,1
3,0,1344,7,23,4,2,3,1,2724,0,0,0,0,240747,78312,139218,23215,495,33999,18699,13547,1750,11416,4,27859,10349,48,87,69065,14655,51802,2604,28105,25825,0,315,75,58,4,1040,54,0,27,2,0,0,0,0,0,0,0,0,0,0
4,1,1555,25,14,32,13,7,7,4096,4,1,0,0,465485,119149,297222,49110,811,50166,25177,20491,4496,20155,9,50690,68201,114,66,76013,33283,40263,2463,48762,45460,1,484,176,106,12,546,66,18,56,11,1,1,1,1,1,1,1,1,3,2
5,0,1555,14,25,23,8,6,2,2752,1,0,0,0,415040,153764,204995,56280,334,47641,30971,14203,2464,20058,9,36287,14730,86,69,72968,26212,42256,4496,40698,37560,0,493,131,110,4,775,62,14,39,11,0,0,0,0,0,0,0,0,0,0
6,1,2168,51,45,57,24,9,9,2989,5,1,0,0,595479,351988,171740,71746,507,119278,84585,31247,3443,32166,11,105566,61232,145,118,128946,45356,68235,15352,67007,60200,2,482,52,16,4,1611,79,4,76,15,0,1,1,1,1,1,2,1,4,1
7,0,2168,45,51,62,24,8,8,2320,4,3,2,0,632350,249879,336783,45685,1572,110019,45218,49446,15351,27420,11,51672,48517,177,114,141564,85937,52181,3440,66518,68455,1,597,78,44,12,754,77,11,74,18,1,0,0,0,0,0,1,1,0,0
8,1,1694,35,24,38,23,7,6,3094,4,0,0,0,570234,72510,450304,47420,1249,101376,17587,73927,9858,22219,9,67763,65162,110,122,93339,15031,74704,3599,54221,49135,1,463,180,93,35,1027,67,5,39,12,1,1,1,0,1,1,1,0,2,1
9,0,1694,24,35,30,14,6,5,3008,3,0,0,0,435593,75662,331560,28366,1243,63361,12515,47243,3599,40774,11,101313,46080,106,83,124680,20433,94387,9857,49802,45850,0,452,100,77,0,570,70,13,56,8,0,0,0,1,0,0,0,2,1,0
10,1,1418,25,18,37,17,5,5,2481,3,0,0,0,419040,30491,350971,37576,1064,57294,6219,49275,1798,17740,10,36744,43243,71,79,58066,13151,42502,2406,43581,38583,1,393,121,61,34,385,58,0,36,5,0,1,1,0,0,1,1,0,2,1
11,0,1418,17,26,19,9,7,6,2955,2,0,0,0,257750,59030,184186,14531,362,37958,11315,24232,2407,19260,8,51605,16791,51,49,76793,7019,67974,1798,34934,36955,0,384,82,46,5,716,52,3,27,2,1,0,0,0,1,0,0,0,1,0
