,team_win,gameDuration,avg__stats_kills,avg__stats_deaths,avg__stats_assists,avg__stats_largestKillingSpree,avg__stats_largestMultiKill,avg__stats_killingSprees,avg__stats_longestTimeSpentLiving,avg__stats_doubleKills,avg__stats_tripleKills,avg__stats_quadraKills,avg__stats_pentaKills,avg__stats_totalDamageDealt,avg__stats_magicDamageDealt,avg__stats_physicalDamageDealt,avg__stats_trueDamageDealt,avg__stats_largestCriticalStrike,avg__stats_totalDamageDealtToChampions,avg__stats_magicDamageDealtToChampions,avg__stats_physicalDamageDealtToChampions,avg__stats_trueDamageDealtToChampions,avg__stats_totalHeal,avg__stats_totalUnitsHealed,avg__stats_damageSelfMitigated,avg__stats_damageDealtToObjectives,avg__stats_visionScore,avg__stats_timeCCingOthers,avg__stats_totalDamageTaken,avg__stats_magicalDamageTaken,avg__stats_physicalDamageTaken,avg__stats_trueDamageTaken,avg__stats_goldEarned,avg__stats_goldSpent,avg__stats_inhibitorKills,avg__stats_totalMinionsKilled,avg__stats_neutralMinionsKilled,avg__stats_neutralMinionsKilledTeamJungle,avg__stats_neutralMinionsKilledEnemyJungle,avg__stats_totalTimeCrowdControlDealt,avg__stats_champLevel,avg__stats_visionWardsBoughtInGame,avg__stats_wardsPlaced,avg__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
0,1,2004,7.2,7.2,12.4,2.6,1.8,2.0,504.8,0.8,0.2,0.0,0.0,144144.4,31621.0,97496.0,15026.2,303.4,20704.8,7934.6,10072.4,2696.2,9545.4,2.6,22009.2,15603.8,46.6,25.2,28833.8,16118.6,11745.8,968.8,14090.4,13037.0,0.4,142.0,36.6,22.0,6.4,112.0,16.0,5.6,17.0,8.6,1,1,1,1,1,1,2,2,1,1
1,0,2004,7.2,7.2,15.4,3.2,1.8,1.4,708.0,0.6,0.4,0.2,0.0,149310.4,86849.2,55147.2,7313.0,138.0,21670.0,15267.0,5433.6,968.6,9053.8,2.8,19935.2,11686.6,37.6,23.2,27289.2,8467.6,16124.8,2696.2,13188.8,12685.0,0.2,128.4,50.2,29.2,8.2,100.0,16.0,7.0,16.6,5.4,0,0,0,0,0,0,1,0,3,1
2,1,1374,6.0,2.6,9.0,3.2,1.6,1.2,837.6,1.0,0.6,0.2,0.0,98746.6,34810.8,60218.6,3716.4,113.2,14695.6,4870.6,9385.6,438.8,4915.8,1.8,13072.8,11280.0,22.2,19.2,15874.2,3329.8,10875.8,1667.6,10002.6,8857.0,0.2,105.2,34.0,19.8,6.4,141.0,13.0,4.8,8.4,3.4,1,1,1,1,1,1,1,1,3,1
3,0,1374,2.6,6.0,4.8,0.6,1.2,0.4,409.2,0.2,0.2,0.0,0.0,62560.0,8545.2,46521.6,7492.2,270.4,9451.8,2682.2,5901.0,868.0,4088.8,2.0,11830.6,1411.6,16.4,18.8,17466.0,5134.4,11892.4,438.6,7466.4,6766.6,0.0,85.2,17.8,13.6,0.0,198.8,11.2,2.2,8.8,2.2,0,0,0,0,0,0,0,0,0,0
4,1,1133,4.2,1.4,6.6,2.8,1.4,0.8,496.6,0.4,0.2,0.0,0.0,80452.8,27800.4,46416.2,6235.4,127.2,10124.0,3651.8,5663.8,808.0,4210.4,1.8,9391.2,9090.0,15.6,20.2,11038.8,3877.6,6877.4,283.4,8039.0,7694.0,0.0,95.8,24.8,12.6,5.0,291.4,11.6,2.8,7.4,2.2,0,1,0,0,1,0,0,0,3,1
5,0,1133,1.4,4.2,2.8,0.4,0.4,0.2,503.8,0.0,0.0,0.0,0.0,58235.0,26469.2,27515.8,4249.4,66.0,7754.4,3833.2,3637.0,283.6,4522.6,2.0,7794.8,2919.2,17.2,13.0,13772.4,4143.4,8820.4,807.8,6316.6,5845.0,0.0,85.4,22.0,15.4,2.4,94.6,10.6,3.0,8.6,1.8,1,0,0,0,0,1,0,0,0,1
6,1,1484,5.2,4.6,11.0,2.2,1.6,1.2,419.2,0.4,0.2,0.0,0.0,100479.8,27727.8,65860.4,6891.0,313.6,11536.6,4790.6,6017.0,728.4,4887.8,2.0,13743.8,9381.8,29.4,16.4,17465.4,7157.4,9567.4,739.8,10322.4,9411.6,0.0,112.4,33.4,20.8,4.4,195.8,13.6,4.8,14.2,4.0,0,1,0,1,1,0,0,1,2,0
7,0,1484,4.4,5.2,6.6,2.0,1.2,1.6,626.8,0.2,0.0,0.0,0.0,92768.2,31710.8,55924.2,5132.4,245.0,12924.6,6566.8,5659.0,698.2,5189.4,3.4,11521.6,9647.0,27.6,14.2,16590.2,5342.4,10519.0,728.0,8845.0,8518.0,0.0,104.0,34.2,20.8,3.8,123.0,12.2,4.2,10.2,6.2,1,0,0,0,0,1,0,0,2,2
8,1,1167,7.2,3.6,11.0,3.6,2.0,2.0,300.6,0.8,0.2,0.0,0.0,74756.8,22062.8,44761.6,7931.2,46.4,13598.4,4557.2,7884.4,1156.0,3341.4,2.0,10422.2,7423.4,15.2,19.0,12275.0,3892.4,7707.2,674.4,9076.6,8221.6,0.0,90.4,24.2,13.0,4.8,141.6,12.0,1.4,7.2,1.8,0,1,0,0,0,1,0,0,1,2
9,0,1167,3.6,7.2,3.0,2.0,1.0,0.8,376.6,0.0,0.0,0.0,0.0,59744.2,13023.8,40338.6,6381.2,57.0,9024.2,3589.2,4759.8,674.8,3861.0,1.4,9713.6,5693.8,15.4,16.0,17581.6,5042.6,11382.0,1155.8,7101.6,6560.0,0.0,72.8,21.8,12.8,3.6,192.6,10.8,2.4,7.0,1.8,1,0,0,0,1,0,0,0,2,0
