,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
0,1,1707,27,21,44,15,7,8,4200,2,0,0,0,628740,177747,410180,40807,464,90208,38092,49412,2701,34978,12,113000,76544,179,73,108576,25187,79166,4220,56916,50875,1,619,173,84,35,578,71,27,77,19,1,1,1,1,1,1,1,1,2,2
1,0,1707,21,28,36,11,6,5,2748,1,0,0,0,562990,66529,463672,32786,392,79847,22664,54961,2220,30283,7,79393,31517,147,134,117825,40721,74401,2700,48823,47058,0,546,176,124,15,1010,68,14,54,19,0,0,0,0,0,0,0,0,1,0
2,1,2172,46,33,89,21,9,10,4255,7,1,0,0,856763,423915,407423,25421,292,116643,70096,43454,3089,62067,15,140078,61861,208,148,157623,45537,98908,13173,75331,69560,2,771,244,186,8,930,85,27,73,34,0,0,1,0,0,0,2,0,3,1
3,0,2172,33,46,50,15,10,7,3100,4,1,0,0,972231,271004,604586,96636,777,120542,41775,65590,13173,40582,7,122962,82528,227,124,164431,76071,85268,3087,74692,71163,0,889,250,163,20,1060,87,32,89,28,1,1,0,1,1,1,0,2,3,1
4,1,2277,39,38,78,10,8,11,2625,3,0,0,0,907192,466679,317344,123165,791,192913,101801,62986,28123,52910,15,271193,59547,224,200,185164,68913,105950,10296,76917,69350,1,774,211,149,9,1303,86,10,88,32,1,0,1,1,0,0,1,1,1,1
5,0,2277,38,39,69,17,9,12,3210,5,1,0,0,868469,312601,494207,61659,788,150540,65032,75207,10297,135147,9,211342,76590,210,181,233243,103874,101243,28121,72275,71240,1,722,221,162,6,2582,84,30,93,31,0,1,0,0,1,1,1,1,4,1
6,1,957,13,4,19,9,4,4,2307,2,0,0,0,262925,111307,136218,15396,314,19917,10049,9272,592,15133,12,19399,26098,69,19,33946,2074,30418,1448,30895,29960,0,404,92,60,4,180,49,9,26,12,1,1,0,0,0,1,0,0,1,1
7,0,957,4,13,2,2,2,1,2508,0,0,0,0,237675,16748,206473,14450,593,18046,1719,14875,1450,8343,4,19244,10775,42,30,32335,11339,20402,592,24433,21200,0,374,106,77,8,673,45,4,26,5,0,0,0,0,1,0,0,0,1,0
8,1,1449,31,18,40,17,7,5,3074,2,2,1,0,495175,139421,316346,39406,230,70602,23344,44322,2934,34796,13,67529,70681,117,82,89232,20297,63616,5314,52630,48750,2,491,173,96,26,715,67,14,46,17,0,1,1,1,1,1,2,1,2,2
9,0,1449,17,31,27,6,5,2,2217,0,0,0,0,435728,82604,312928,40192,391,65030,18623,42426,3977,21767,9,69723,23058,101,99,92507,25845,63724,2932,42392,38983,0,474,144,113,1,943,62,15,49,14,1,0,0,0,0,0,0,0,1,0
10,1,2553,67,62,84,21,9,15,2433,8,1,0,0,945237,117427,787963,39843,3226,160011,42604,103538,13864,57826,6,228600,57977,275,170,215511,75920,118869,20720,88681,83725,2,759,217,141,30,1930,89,29,89,24,0,0,1,0,0,0,2,0,1,0
11,0,2553,62,68,74,23,8,11,2913,9,1,0,0,1082497,273769,718127,90598,2575,175560,72749,82791,20015,47805,8,182899,105552,238,193,213578,49264,150349,13961,90721,90285,0,826,219,144,16,1235,90,16,70,46,1,1,0,1,1,1,0,1,5,1
12,1,1851,26,17,42,12,7,6,3573,2,0,0,0,711485,300503,371350,39627,1094,68627,38118,25782,4722,24435,6,53317,90222,199,74,79780,16327,60410,3040,61926,52225,2,669,200,119,16,1139,78,21,69,30,0,1,1,1,1,0,2,2,4,1
13,0,1851,17,26,31,15,7,4,3740,3,0,0,0,620587,170776,406553,43255,1314,52192,12879,36271,3041,20951,11,69006,25647,182,53,86292,40286,41281,4720,50963,49850,0,648,228,153,29,721,70,29,74,33,1,0,0,0,0,1,0,0,0,1
14,1,764,52,5,89,43,11,7,2627,9,2,0,0,247784,68081,158817,20881,588,58778,17327,40617,830,19613,10,14626,24983,26,59,38206,3699,26740,7764,38416,28200,1,280,48,16,20,540,44,4,12,0,1,1,1,0,0,1,1,0,0,1
15,0,764,5,53,6,2,5,1,1237,1,0,0,0,56089,7562,40266,8258,10,13495,3516,9211,764,2015,4,37139,3008,6,68,64981,17441,46708,829,16606,12975,0,96,0,0,0,461,28,1,6,0,0,0,0,0,0,0,0,0,0,0
16,1,1181,21,13,39,14,5,5,2506,2,0,0,0,550261,32002,229945,288311,562,39990,9688,25925,4371,12266,12,22156,49007,98,55,40705,9265,30179,1260,40817,36575,1,497,111,65,13,380,55,13,38,15,1,1,1,0,0,1,1,0,1,2
17,0,1181,13,21,14,5,4,3,1983,0,0,0,0,304481,63903,228260,12313,244,30909,9266,20380,1260,13172,10,35221,11712,64,57,53977,10227,39375,4370,31787,35135,0,414,111,74,9,357,52,12,40,7,0,0,0,0,1,0,0,0,1,0
18,1,1915,33,25,46,16,7,10,2827,2,0,0,0,751000,326484,378211,46300,421,99914,50313,44898,4700,53224,6,97647,101248,231,119,118734,33146,69275,16310,66126,59250,2,702,259,158,26,2767,82,26,73,39,1,1,1,1,1,1,2,2,4,2
19,0,1915,25,33,28,10,6,6,2571,2,0,0,0,646853,185435,392337,69076,746,87354,29540,41500,16309,37552,10,89089,24185,171,73,125517,52546,68266,4698,55154,51900,0,681,186,150,0,690,73,26,96,24,0,0,0,0,0,0,0,0,1,0
